GPS1.UTCGregorian         GPS1.EarthFixedCS.X       GPS1.EarthFixedCS.Y       GPS1.EarthFixedCS.Z       GPS2.UTCGregorian         GPS2.EarthFixedCS.X       GPS2.EarthFixedCS.Y       GPS2.EarthFixedCS.Z       GPS3.UTCGregorian         GPS3.EarthFixedCS.X       GPS3.EarthFixedCS.Y       GPS3.EarthFixedCS.Z       GPS4.UTCGregorian         GPS4.EarthFixedCS.X       GPS4.EarthFixedCS.Y       GPS4.EarthFixedCS.Z       GPS5.UTCGregorian         GPS5.EarthFixedCS.X       GPS5.EarthFixedCS.Y       GPS5.EarthFixedCS.Z       GPS6.UTCGregorian         GPS6.EarthFixedCS.X       GPS6.EarthFixedCS.Y       GPS6.EarthFixedCS.Z       GPS7.UTCGregorian         GPS7.EarthFixedCS.X       GPS7.EarthFixedCS.Y       GPS7.EarthFixedCS.Z       GPS8.UTCGregorian         GPS8.EarthFixedCS.X       GPS8.EarthFixedCS.Y       GPS8.EarthFixedCS.Z       GPS9.UTCGregorian         GPS9.EarthFixedCS.X       GPS9.EarthFixedCS.Y       GPS9.EarthFixedCS.Z       GPS10.UTCGregorian        GPS10.EarthFixedCS.X      GPS10.EarthFixedCS.Y      GPS10.EarthFixedCS.Z      GPS11.UTCGregorian        GPS11.EarthFixedCS.X      GPS11.EarthFixedCS.Y      GPS11.EarthFixedCS.Z      GPS12.UTCGregorian        GPS12.EarthFixedCS.X      GPS12.EarthFixedCS.Y      GPS12.EarthFixedCS.Z      GPS13.UTCGregorian        GPS13.EarthFixedCS.X      GPS13.EarthFixedCS.Y      GPS13.EarthFixedCS.Z      GPS14.UTCGregorian        GPS14.EarthFixedCS.X      GPS14.EarthFixedCS.Y      GPS14.EarthFixedCS.Z      GPS15.UTCGregorian        GPS15.EarthFixedCS.X      GPS15.EarthFixedCS.Y      GPS15.EarthFixedCS.Z      GPS16.UTCGregorian        GPS16.EarthFixedCS.X      GPS16.EarthFixedCS.Y      GPS16.EarthFixedCS.Z      GPS17.UTCGregorian        GPS17.EarthFixedCS.X      GPS17.EarthFixedCS.Y      GPS17.EarthFixedCS.Z      GPS18.UTCGregorian        GPS18.EarthFixedCS.X      GPS18.EarthFixedCS.Y      GPS18.EarthFixedCS.Z      GPS19.UTCGregorian        GPS19.EarthFixedCS.X      GPS19.EarthFixedCS.Y      GPS19.EarthFixedCS.Z      GPS20.UTCGregorian        GPS20.EarthFixedCS.X      GPS20.EarthFixedCS.Y      GPS20.EarthFixedCS.Z      GPS21.UTCGregorian        GPS21.EarthFixedCS.X      GPS21.EarthFixedCS.Y      GPS21.EarthFixedCS.Z      GPS22.UTCGregorian        GPS22.EarthFixedCS.X      GPS22.EarthFixedCS.Y      GPS22.EarthFixedCS.Z      GPS23.UTCGregorian        GPS23.EarthFixedCS.X      GPS23.EarthFixedCS.Y      GPS23.EarthFixedCS.Z      GPS24.UTCGregorian        GPS24.EarthFixedCS.X      GPS24.EarthFixedCS.Y      GPS24.EarthFixedCS.Z      
01 Jan 2026 00:01:00.000   -4744.504581517122        -26131.5297882431         257.7248219389371         01 Jan 2026 00:01:00.000   15026.84235334807         -2513.742955406613        21755.65927410355         01 Jan 2026 00:01:00.000   4744.504581536656         26131.5297887259          -257.72482220443          01 Jan 2026 00:01:00.000   -15026.84235381865        2513.742955610321         -21755.65927459142        01 Jan 2026 00:01:00.000   20258.84244639072         -17174.47247753374        224.4834577190765         01 Jan 2026 00:01:00.000   9742.163327292026         11775.68873289148         21722.26999424187         01 Jan 2026 00:01:00.000   -20258.84244597118        17174.47247706018         -224.4834577113389        01 Jan 2026 00:01:00.000   -9742.163327271443        -11775.68873340551        -21722.26999433168        01 Jan 2026 00:01:00.000   25003.42981406257         8957.532818999807         157.157205339983          01 Jan 2026 00:01:00.000   -5275.219489954989        14343.76556930978         21722.38600224437         01 Jan 2026 00:01:00.000   -25003.42981408512        -8957.532818965101        -157.1572054031223        01 Jan 2026 00:01:00.000   5275.219489954246         -14343.76556937236        -21722.38600205206        01 Jan 2026 00:01:00.000   4744.670154300419         26132.48080912446         123.0723171963502         01 Jan 2026 00:01:00.000   -15007.92328108133        2622.410717120528         21755.89129045921         01 Jan 2026 00:01:00.000   -4744.67015428012         -26132.48080863541        -123.0723174567886        01 Jan 2026 00:01:00.000   15007.92328095107         -2622.410716900168        -21755.89129024923        01 Jan 2026 00:01:00.000   -20258.67687320096        17175.42349746298         156.3136816702643         01 Jan 2026 00:01:00.000   -9723.244255427719        -11667.02097254696        21789.28057201016         01 Jan 2026 00:01:00.000   20258.67687361986         -17175.42349793746        -156.3136816701886        01 Jan 2026 00:01:00.000   9723.244255451016         11667.02097236559         -21789.28057154771        01 Jan 2026 00:01:00.000   -25003.2642413262         -8956.58179856017         223.639933983413          01 Jan 2026 00:01:00.000   5294.13856292054          -14235.09780873566        21789.16456375509         01 Jan 2026 00:01:00.000   25003.26424130175         8956.581798595738         -223.6399340499436        01 Jan 2026 00:01:00.000   -5294.13856274253         14235.09780902655         -21789.16456374437        
01 Jan 2026 00:02:00.000   -4727.198293315076        -26132.09477773196        448.1052882865429         01 Jan 2026 00:02:00.000   15057.64659657471         -2350.865465023237        21752.57068429907         01 Jan 2026 00:02:00.000   4727.198293396131         26132.0947796502          -448.1052893582931        01 Jan 2026 00:02:00.000   -15057.64659845931        2350.865465829879         -21752.57068625495        01 Jan 2026 00:02:00.000   20268.4393831883          -17159.60589019867        414.5727431478346         01 Jan 2026 00:02:00.000   9616.58528738251          11883.57578458382         21719.47362401037         01 Jan 2026 00:02:00.000   -20268.43938151345        17159.60588830228         -414.572743101383         01 Jan 2026 00:02:00.000   -9616.585287297221        -11883.57578663713        -21719.47362435739        01 Jan 2026 00:02:00.000   24995.80740503572         8973.439130817618         347.2500076099267         01 Jan 2026 00:02:00.000   -5431.36502987873         14288.72701476213         21720.17896397751         01 Jan 2026 00:02:00.000   -24995.8074051218         -8973.439130680999        -347.250007855899         01 Jan 2026 00:02:00.000   5431.365029872155         -14288.72701500821        -21720.17896321285        01 Jan 2026 00:02:00.000   4727.537752354739         26133.9952815078          313.459817281273          01 Jan 2026 00:02:00.000   -15038.25403768712        2459.436994103547         21753.98136570406         01 Jan 2026 00:02:00.000   -4727.537752267443        -26133.99527953962        -313.4598183126046        01 Jan 2026 00:02:00.000   15038.25403716492         -2459.436993221033        -21753.98136485679        01 Jan 2026 00:02:00.000   -20268.09992250331        17161.50639019386         346.9923633847634         01 Jan 2026 00:02:00.000   -9597.192730080629        -11775.00426099135        21787.07843276989         01 Jan 2026 00:02:00.000   20268.09992417305         -17161.50639209748        -346.9923633996159        01 Jan 2026 00:02:00.000   9597.192730179795         11775.00426026377         -21787.07843092414        01 Jan 2026 00:02:00.000   -24995.46794620209        -8971.538628772358        414.3150986697865         01 Jan 2026 00:02:00.000   5450.757591585288         -14180.15549022249        21786.37309173917         01 Jan 2026 00:02:00.000   24995.46794610069         8971.538628915896         -414.3150989428772        01 Jan 2026 00:02:00.000   -5450.757590876256        14180.15549139259         -21786.37309170255        
01 Jan 2026 00:03:00.000   -4709.619461097394        -26131.3110701471         638.4514235435552         01 Jan 2026 00:03:00.000   15089.01080010288         -2188.124974579028        21747.81619047701         01 Jan 2026 00:03:00.000   4709.619461286288         26131.31107443379         -638.4514259765704        01 Jan 2026 00:03:00.000   -15089.0108043484         2188.124976375423         -21747.81619488722        01 Jan 2026 00:03:00.000   20277.00593437149         -17143.83292496641        604.6302709849327         01 Jan 2026 00:03:00.000   9491.40088758405          11991.87755090357         21715.01388785975         01 Jan 2026 00:03:00.000   -20277.00593061074        17143.83292069507         -604.6302708454936        01 Jan 2026 00:03:00.000   -9491.400887385762        -11991.87755551686        -21715.01388861301        01 Jan 2026 00:03:00.000   24986.88621056258         8988.90228653679          537.3162120349737         01 Jan 2026 00:03:00.000   -5587.67788753913         14234.23499144172         21716.30850456345         01 Jan 2026 00:03:00.000   -24986.88621074737        -8988.902286234523        -537.3162125734796        01 Jan 2026 00:03:00.000   5587.677887516173         -14234.23499198586        -21716.3085028532         01 Jan 2026 00:03:00.000   4710.141095906607         26134.15939158476         503.82330582051           01 Jan 2026 00:03:00.000   -15069.14674955286        2296.58990374927          21750.40542734645         01 Jan 2026 00:03:00.000   -4710.141095696364        -26134.15938712964        -503.8233081171782        01 Jan 2026 00:03:00.000   15069.14674837512         -2296.589901761402        -21750.40542542358        01 Jan 2026 00:03:00.000   -20276.48429581677        17146.68123796081         537.6444604338201         01 Jan 2026 00:03:00.000   -9471.536840548219        -11883.41263410298        21783.20774525623         01 Jan 2026 00:03:00.000   20276.48429956026         -17146.68124225655        -537.6444605012992        01 Jan 2026 00:03:00.000   9471.53684078454          11883.41263246122         -21783.20774111255        01 Jan 2026 00:03:00.000   -24986.36457625854        -8986.053968911219        604.9585188395664         01 Jan 2026 00:03:00.000   5607.541944484491         -14125.77007244604        21781.91312603954         01 Jan 2026 00:03:00.000   24986.36457602209         8986.053969236922         -604.9585194695452        01 Jan 2026 00:03:00.000   -5607.541942896129        14125.77007509333         -21781.91312597107        
01 Jan 2026 00:04:00.000   -4691.757303684701        -26129.18114276585        828.7486456510115         01 Jan 2026 00:04:00.000   15120.93190154319         -2025.535716505634        21741.39615662304         01 Jan 2026 00:04:00.000   4691.757304032            26129.18115033409         -828.7486500139928        01 Jan 2026 00:04:00.000   -15120.93190910004        2025.535719666027         -21741.39616447973        01 Jan 2026 00:04:00.000   20284.54957464245         -17127.1455043597         794.6414812812679         01 Jan 2026 00:04:00.000   9366.620903295467         12100.58432051542         21708.89112720629         01 Jan 2026 00:04:00.000   -20284.5495679708         17127.14549675881         -794.6414809712433        01 Jan 2026 00:04:00.000   -9366.620902932031        -12100.5843287045         -21708.89112849621        01 Jan 2026 00:04:00.000   24976.66291133322         9003.932777444004         727.3412579896212         01 Jan 2026 00:04:00.000   -5744.144284049785        14180.2940324611          21710.77492026567         01 Jan 2026 00:04:00.000   -24976.66291164646        -9003.932776916046        -727.3412589202474        01 Jan 2026 00:04:00.000   5744.144283994383         -14180.29403341129        -21710.77491724344        01 Jan 2026 00:04:00.000   4692.46937822796          26132.97548969838         694.1481994140668         01 Jan 2026 00:04:00.000   -15100.59847209109        2133.883702536189         21745.16374916851         01 Jan 2026 00:04:00.000   -4692.469377829393        -26132.97548173114        -694.1482034540265        01 Jan 2026 00:04:00.000   15100.59846999206         -2133.88369899861         -21745.16374572071        01 Jan 2026 00:04:00.000   -20283.83749336384        17130.93983639533         728.2553672296659         01 Jan 2026 00:04:00.000   -9346.287479996165        -11992.23635651263        21777.66880584829         01 Jan 2026 00:04:00.000   20283.83749999458         -17130.93984405401        -728.2553674101257        01 Jan 2026 00:04:00.000   9346.287480439281         11992.23635358549         -21777.66879849831        01 Jan 2026 00:04:00.000   -24975.95083776269        -9000.138437143145        795.5555895983634         01 Jan 2026 00:04:00.000   5764.47772496364          -14071.94606444356        21775.7850081079          01 Jan 2026 00:04:00.000   24975.95083732699         9000.138437726859         -795.555590745661         01 Jan 2026 00:04:00.000   -5764.47772215259         14071.94606917541         -21775.7850080107         
01 Jan 2026 00:05:00.000   -4673.601078612693        -26125.70764443346        1018.982376301345         01 Jan 2026 00:05:00.000   15153.40668210997         -1863.111887066104        21733.31107423432         01 Jan 2026 00:05:00.000   4673.601079173113         26125.70765617619         -1018.98238317613         01 Jan 2026 00:05:00.000   -15153.40669393212        1863.111891952            -21733.31108653504        01 Jan 2026 00:05:00.000   20291.07790767572         -17109.53566944585        984.5918176394742         01 Jan 2026 00:05:00.000   9242.256001180294         12209.68626498566         21701.10581078403         01 Jan 2026 00:05:00.000   -20291.07789727403        17109.53565755877         -984.5918170579253        01 Jan 2026 00:05:00.000   -9242.256000596037        -12209.68627776104        -21701.10581272233        01 Jan 2026 00:05:00.000   24965.13435493364         9018.541148017526         917.3105880044398         01 Jan 2026 00:05:00.000   -5900.750392693311        14126.90851847607         21703.57863467235         01 Jan 2026 00:05:00.000   -24965.13435540004        -9018.541147207723        -917.3105894165496        01 Jan 2026 00:05:00.000   5900.750392583868         -14126.90851993361        -21703.57862997858        01 Jan 2026 00:05:00.000   4674.511829721289         26130.4460980924          884.4199176217164         01 Jan 2026 00:05:00.000   -15132.60610397913        1971.332612396069         21738.25673247753         01 Jan 2026 00:05:00.000   -4674.511829059447        -26130.4460855709         -884.419923865965         01 Jan 2026 00:05:00.000   15132.60610069065         -1971.332606863521        -21738.25672704451        01 Jan 2026 00:05:00.000   -20290.16714592425        17114.27410000691         918.8104813436083         01 Jan 2026 00:05:00.000   -9221.455432516477        -12101.46557412942        21770.46203864253         01 Jan 2026 00:05:00.000   20290.16715624609         -17114.27411200679        -918.8104817200032        01 Jan 2026 00:05:00.000   9221.455433244055         12101.4655695425          -21770.46202718433        01 Jan 2026 00:05:00.000   -24964.22360546247        -9013.802704493299        986.0917096069227         01 Jan 2026 00:05:00.000   5921.550988875202         -14018.68782117335        21767.98920710633         01 Jan 2026 00:05:00.000   24964.22360475688         9013.802705412392         -986.0917114418606        01 Jan 2026 00:05:00.000   -5921.550984503326        14018.68782860634         -21767.98920699242        
01 Jan 2026 00:06:00.000   -4655.140084245328        -26120.89339506325        1209.138042056343         01 Jan 2026 00:06:00.000   15186.43176713217         -1700.867644172508        21723.56156228202         01 Jan 2026 00:06:00.000   4655.140085077664         26120.89341185306         -1209.138052037344        01 Jan 2026 00:06:00.000   -15186.43178417716        1700.867651132526         -21723.56158002933        01 Jan 2026 00:06:00.000   20296.59866463887         -17090.99558141365        1174.466728330229         01 Jan 2026 00:06:00.000   9118.31673753553          12319.17344030566         21691.6585346091          01 Jan 2026 00:06:00.000   -20296.59864969423        17090.99556428212         -1174.466727352876        01 Jan 2026 00:06:00.000   -9118.316736671581        -12319.17345867216        -21691.65853728863        01 Jan 2026 00:06:00.000   24952.29755648194         9032.737993861112         1107.209648882474         01 Jan 2026 00:06:00.000   -6057.482341053009        14074.08267702457         21694.72019866407         01 Jan 2026 00:06:00.000   -24952.29755712166        -9032.737992717424        -1107.209650855112        01 Jan 2026 00:06:00.000   6057.482340862339         -14074.08267908393        -21694.72019194602        01 Jan 2026 00:06:00.000   4656.257720037402         26126.57391043254         1074.623884081123         01 Jan 2026 00:06:00.000   -15165.16638764904        1808.950818527094         21729.6849060754          01 Jan 2026 00:06:00.000   -4656.257719027603        -26126.57389229801        -1074.623892973236        01 Jan 2026 00:06:00.000   15165.16638290031         -1808.95081055367         -21729.68489818587        01 Jan 2026 00:06:00.000   -20295.48101335122        17096.676063781           1109.295204625871         01 Jan 2026 00:06:00.000   -9097.051371475391        -12211.09031566885        21761.58799542045         01 Jan 2026 00:06:00.000   20295.48102815796         -17096.67608110733        -1109.295205303687        01 Jan 2026 00:06:00.000   9097.051372572763         12211.09030904446         -21761.58797895861        01 Jan 2026 00:06:00.000   -24951.17992321828        -9027.057492758404        1176.55228220089          01 Jan 2026 00:06:00.000   6078.747746731196         -13965.99954285818        21758.52631987157         01 Jan 2026 00:06:00.000   24951.17992216529         9027.05749409161          -1176.552284903453        01 Jan 2026 00:06:00.000   -6078.747740465817        13965.99955361785         -21758.52631976168        
01 Jan 2026 00:07:00.000   -4636.363661893073        -26114.74138510638        1399.201075464727         01 Jan 2026 00:07:00.000   15220.00362659153         -1538.817105217276        21712.14836716407         01 Jan 2026 00:07:00.000   4636.363663060103         26114.74140779523         -1399.201089158363        01 Jan 2026 00:07:00.000   -15220.00364982051        1538.81711458701          -21712.1483913651         01 Jan 2026 00:07:00.000   20301.11970268461         -17071.51752313953        1364.251667408175         01 Jan 2026 00:07:00.000   8994.813556685784         12429.03578843192         21680.55002193407         01 Jan 2026 00:07:00.000   -20301.11968239068        17071.51749980413         -1364.251665887407        01 Jan 2026 00:07:00.000   -8994.81355548041         -12429.0358133883         -21680.55002542874        01 Jan 2026 00:07:00.000   24938.1496992412          9046.533959618124         1297.023892815288         01 Jan 2026 00:07:00.000   -6214.326213146393        14021.8205818957          21684.20029037177         01 Jan 2026 00:07:00.000   -24938.1497000702         -9046.533958092823        -1297.023895417099        01 Jan 2026 00:07:00.000   6214.326212841695         -14021.82058464439        -21684.20028128354        01 Jan 2026 00:07:00.000   4637.696360198494         26121.36179129731         1264.745527625644         01 Jan 2026 00:07:00.000   -15198.27590980486        1646.752467220436         21719.44892621818         01 Jan 2026 00:07:00.000   -4637.696358746191        -26121.36176647485        -1264.745539591323        01 Jan 2026 00:07:00.000   15198.27590332219         -1646.752456359839        -21719.44891538991        01 Jan 2026 00:07:00.000   -20299.78698305865        17078.13788476627         1299.694944325125         01 Jan 2026 00:07:00.000   -8973.085857886623        -12321.10049419763        21751.0473556064          01 Jan 2026 00:07:00.000   20299.78700313374         -17078.13790841083        -1299.6949454323          01 Jan 2026 00:07:00.000   8973.085859446437         12321.10048515478         -21751.04733325211        01 Jan 2026 00:07:00.000   -24936.81700461081        -9039.913572399752        1366.922716510233         01 Jan 2026 00:07:00.000   6236.05396585768          -13913.88527435916        21747.39707086951         01 Jan 2026 00:07:00.000   24936.81700312567         9039.913574227057         -1366.922720269828        01 Jan 2026 00:07:00.000   -6236.053957371823        13913.88528907977         -21747.39707079289        
01 Jan 2026 00:08:00.000   -4617.2611979024          -26107.25477499699        1589.156916179269         01 Jan 2026 00:08:00.000   15254.11857569007         -1376.974344899189        21699.07236264834         01 Jan 2026 00:08:00.000   4617.261199470804         26107.2548044161          -1589.156934203392        01 Jan 2026 00:08:00.000   -15254.11860606783        1376.974357001076         -21699.07239431438        01 Jan 2026 00:08:00.000   20304.64900343598         -17051.09390071671        1553.932095827409         01 Jan 2026 00:08:00.000   8871.756789387293         12539.26313885437         21667.78112319284         01 Jan 2026 00:08:00.000   -20304.64897699333        17051.09387021726         -1553.932093592317        01 Jan 2026 00:08:00.000   -8871.756787776234        -12539.2631713929         -21667.78112755748        01 Jan 2026 00:08:00.000   24922.68813519655         9059.939736898179         1486.738778498616         01 Jan 2026 00:08:00.000   -6371.268051578236        13970.12615252148         21672.019715125           01 Jan 2026 00:08:00.000   -24922.6881362271         -9059.939734948061        -1486.738781787774        01 Jan 2026 00:08:00.000   6371.268051121049         -13970.12615603993        -21672.01970332755        01 Jan 2026 00:08:00.000   4618.817104692773         26114.81277564434         1454.770283401733         01 Jan 2026 00:08:00.000   -15231.93110196935        1484.751663681221         21707.5495765661          01 Jan 2026 00:08:00.000   -4618.817102693412        -26114.81274304323        -1454.770298848363        01 Jan 2026 00:08:00.000   15231.93109347592         -1484.75164948703         -21707.54956230596        01 Jan 2026 00:08:00.000   -20303.09306850111        17058.6518436247          1489.995114207585         01 Jan 2026 00:08:00.000   -8849.569338794676        -12431.48590870702        21738.84092621583         01 Jan 2026 00:08:00.000   20303.0930946174          -17058.65187458537        -1489.995115894415        01 Jan 2026 00:08:00.000   8849.569340916541         12431.48589686137         -21738.84089708701        01 Jan 2026 00:08:00.000   -24921.1322335131         -9052.381760448838        1557.188428578202         01 Jan 2026 00:08:00.000   6393.455572568528         -13862.34890457255        21734.60231213999         01 Jan 2026 00:08:00.000   24921.13223150342         9052.381762851324         -1557.188433593402        01 Jan 2026 00:08:00.000   -6393.455561541167        13862.34892389688         -21734.60231213415        
01 Jan 2026 00:09:00.000   -4597.82212575989         -26098.43689456544        1778.991012073353         01 Jan 2026 00:09:00.000   15288.77277544392         -1215.353393069797        21684.33454980585         01 Jan 2026 00:09:00.000   4597.822127800157         26098.43693152504         -1778.991035056675        01 Jan 2026 00:09:00.000   -15288.77281393894        1215.353408212999         -21684.33458995193        01 Jan 2026 00:09:00.000   20307.19467143649         -17029.71724498115        1743.493482556442         01 Jan 2026 00:09:00.000   8749.156651262694         12649.84521017695         21653.35281593568         01 Jan 2026 00:09:00.000   -20307.19463805289        17029.71720635717         -1743.493479412857        01 Jan 2026 00:09:00.000   -8749.156649179487        -12649.84525128306        -21653.35282120595        01 Jan 2026 00:09:00.000   24905.91038561229         9072.966062174875         1676.339772247494         01 Jan 2026 00:09:00.000   -6528.29385968924         13919.00315340126         21658.1794053905          01 Jan 2026 00:09:00.000   -24905.91038685333        -9072.966059761458        -1676.339776271656        01 Jan 2026 00:09:00.000   6528.293859035414         -13919.00315776274        -21658.17939055166        01 Jan 2026 00:09:00.000   4599.609353583946         26106.93006824442         1644.683593985849         01 Jan 2026 00:09:00.000   -15266.12824105707        1322.962469869638         21693.98776812374         01 Jan 2026 00:09:00.000   -4599.60935092284         -26106.93002675865        -1644.683613302063        01 Jan 2026 00:09:00.000   15266.12823027268         -1322.962451895565        -21693.98774992776        01 Jan 2026 00:09:00.000   -20305.40740761867        17038.2103461784          1680.181135675598         01 Jan 2026 00:09:00.000   -8726.512145688877        -12542.23624569883        21724.9696417937          01 Jan 2026 00:09:00.000   20305.40744053803         -17038.21038545874        -1680.181138114631        01 Jan 2026 00:09:00.000   8726.512148479011         12542.23623066265         -21724.96960501502        01 Jan 2026 00:09:00.000   -24904.12316464206        -9064.472918384145        1747.334842479741         01 Jan 2026 00:09:00.000   6550.938454334914         -13811.39416585961        21720.14302323182         01 Jan 2026 00:09:00.000   24904.12316200744         9064.472921443898         -1747.334848958019        01 Jan 2026 00:09:00.000   -6550.938440451188        13811.3941904387          -21720.14302334234        
01 Jan 2026 00:10:00.000   -4578.035928176611        -26088.29124242544        1968.6888203569           01 Jan 2026 00:10:00.000   15323.96223330573         -1053.968232580892        21667.93605693453         01 Jan 2026 00:10:00.000   4578.035930762958         26088.29128771463         -1968.688848938414        01 Jan 2026 00:10:00.000   -15323.96228089019        1053.96825106119          -21667.93610657902        01 Jan 2026 00:10:00.000   20308.76493258769         -17007.38021300748        1932.921305692513         01 Jan 2026 00:10:00.000   8627.02324125085          12760.7716117226          21637.2662047546          01 Jan 2026 00:10:00.000   -20308.76489147848        17007.38016529863         -1932.921301423061        01 Jan 2026 00:10:00.000   -8627.023238627175        -12760.77166237447        -21637.26621094697        01 Jan 2026 00:10:00.000   24887.81414155656         9085.623714687512         1865.812349110798         01 Jan 2026 00:10:00.000   -6685.389603718198        13868.45519355139         21642.68042070105         01 Jan 2026 00:10:00.000   -24887.81414301418        -9085.623711777245        -1865.812353907059        01 Jan 2026 00:10:00.000   6685.389602817868         -13868.45519882187        -21642.6804024956         01 Jan 2026 00:10:00.000   4580.062554601261         26097.71704308964         1834.470910500794         01 Jan 2026 00:10:00.000   -15300.86344997607        1161.398902342832         21678.76453917055         01 Jan 2026 00:10:00.000   -4580.062551153461        -26097.71699159827        -1834.47093405605         01 Jan 2026 00:10:00.000   15300.86343661689         -1161.398880142983        -21678.76451652397        01 Jan 2026 00:10:00.000   -20306.73826126871        17016.80592492647         1870.238438885668         01 Jan 2026 00:10:00.000   -8603.924492932543        -12653.34108079597        21709.43456434317         01 Jan 2026 00:10:00.000   20306.73830174182         -17016.80597353521        -1870.238442271585        01 Jan 2026 00:10:00.000   8603.92449650341          12653.34106217809         -21709.43451904619        01 Jan 2026 00:10:00.000   -24885.78752407748        -9076.197950011971        1937.347391439311         01 Jan 2026 00:10:00.000   6708.488461968181         -13761.02463350183        21704.02031112812         01 Jan 2026 00:10:00.000   24885.78752070913         9076.197953811936         -1937.347399596758        01 Jan 2026 00:10:00.000   -6708.488444919622        13761.02466399476         -21704.02031140842        
