GPS1.UTCGregorian         Receiver.EarthFixedCS.X   Receiver.EarthFixedCS.Y   Receiver.EarthFixedCS.Z   
01 Jan 2026 00:01:00.000   -673.7423280968258        -5487.190927230625        3170.456505283217         
01 Jan 2026 00:02:00.000   -673.7423286777624        -5487.190927942032        3170.45650392851          
01 Jan 2026 00:03:00.000   -673.7423280909221        -5487.190927235335        3170.456505276314         
01 Jan 2026 00:04:00.000   -673.7423286777623        -5487.190927942032        3170.45650392851          
01 Jan 2026 00:05:00.000   -673.7423280850567        -5487.190927240096        3170.456505269317         
01 Jan 2026 00:06:00.000   -673.7423286777619        -5487.19092794203         3170.45650392851          
01 Jan 2026 00:07:00.000   -673.7423280792299        -5487.190927244907        3170.45650526223          
01 Jan 2026 00:08:00.000   -673.7423286777619        -5487.19092794203         3170.45650392851          
01 Jan 2026 00:09:00.000   -673.742328073444         -5487.19092724977         3170.45650525505          
01 Jan 2026 00:10:00.000   -673.7423286777622        -5487.190927942032        3170.45650392851          
01 Jan 2026 00:11:00.000   -673.7423280676958        -5487.190927254673        3170.456505247779         
01 Jan 2026 00:12:00.000   -673.7423286777624        -5487.190927942031        3170.456503928511         
01 Jan 2026 00:13:00.000   -673.7423280619873        -5487.190927259629        3170.456505240415         
01 Jan 2026 00:14:00.000   -673.7423286777625        -5487.190927942032        3170.456503928511         
01 Jan 2026 00:15:00.000   -673.7423280563188        -5487.190927264634        3170.456505232962         
01 Jan 2026 00:16:00.000   -673.742328677762         -5487.190927942029        3170.45650392851          
01 Jan 2026 00:17:00.000   -673.7423280506916        -5487.190927269681        3170.456505225419         
01 Jan 2026 00:18:00.000   -673.7423286777625        -5487.190927942032        3170.456503928511         
01 Jan 2026 00:19:00.000   -673.7423280451072        -5487.190927274781        3170.456505217785         
01 Jan 2026 00:20:00.000   -673.742328677762         -5487.19092794203         3170.456503928509         
01 Jan 2026 00:21:00.000   -673.7423280395627        -5487.190927279921        3170.456505210062         
01 Jan 2026 00:22:00.000   -673.742328677762         -5487.190927942029        3170.456503928511         
01 Jan 2026 00:23:00.000   -673.7423280340589        -5487.19092728511         3170.45650520225          
01 Jan 2026 00:24:00.000   -673.7423286777617        -5487.19092794203         3170.456503928511         
01 Jan 2026 00:25:00.000   -673.7423280286004        -5487.190927290347        3170.45650519435          
01 Jan 2026 00:26:00.000   -673.7423286777633        -5487.190927942036        3170.45650392851          
01 Jan 2026 00:27:00.000   -673.7423280231824        -5487.190927295628        3170.456505186362         
01 Jan 2026 00:28:00.000   -673.7423286777625        -5487.190927942029        3170.456503928511         
01 Jan 2026 00:29:00.000   -673.7423280178079        -5487.190927300952        3170.456505178287         
01 Jan 2026 00:30:00.000   -673.7423286777624        -5487.190927942032        3170.456503928511         
01 Jan 2026 00:31:00.000   -673.7423280124764        -5487.190927306322        3170.456505170126         
01 Jan 2026 00:32:00.000   -673.742328677763         -5487.190927942034        3170.456503928512         
01 Jan 2026 00:33:00.000   -673.7423280071879        -5487.190927311736        3170.456505161878         
01 Jan 2026 00:34:00.000   -673.7423286777631        -5487.190927942032        3170.45650392851          
01 Jan 2026 00:35:00.000   -673.7423280019456        -5487.190927317197        3170.456505153545         
01 Jan 2026 00:36:00.000   -673.742328677762         -5487.190927942031        3170.456503928511         
01 Jan 2026 00:37:00.000   -673.7423279967464        -5487.190927322698        3170.456505145127         
01 Jan 2026 00:38:00.000   -673.742328677762         -5487.190927942032        3170.456503928511         
01 Jan 2026 00:39:00.000   -673.7423279915934        -5487.190927328245        3170.456505136625         
01 Jan 2026 00:40:00.000   -673.7423286777631        -5487.190927942031        3170.456503928511         
01 Jan 2026 00:41:00.000   -673.7423279864843        -5487.190927333833        3170.456505128037         
01 Jan 2026 00:42:00.000   -673.7423286777621        -5487.190927942032        3170.456503928511         
01 Jan 2026 00:43:00.000   -673.7423279814216        -5487.190927339463        3170.456505119368         
01 Jan 2026 00:44:00.000   -673.7423286777619        -5487.190927942032        3170.456503928511         
01 Jan 2026 00:45:00.000   -673.7423279764025        -5487.190927345135        3170.456505110614         
01 Jan 2026 00:46:00.000   -673.7423286777631        -5487.190927942034        3170.456503928511         
01 Jan 2026 00:47:00.000   -673.7423279714328        -5487.190927350854        3170.456505101779         
01 Jan 2026 00:48:00.000   -673.7423286777637        -5487.190927942034        3170.456503928511         
01 Jan 2026 00:49:00.000   -673.7423279665087        -5487.190927356608        3170.456505092863         
01 Jan 2026 00:50:00.000   -673.7423286777639        -5487.190927942032        3170.45650392851          
01 Jan 2026 00:51:00.000   -673.7423279616303        -5487.190927362407        3170.456505083864         
01 Jan 2026 00:52:00.000   -673.7423286777625        -5487.190927942032        3170.456503928511         
01 Jan 2026 00:53:00.000   -673.7423279568029        -5487.190927368247        3170.456505074786         
01 Jan 2026 00:54:00.000   -673.7423286777616        -5487.190927942032        3170.456503928511         
01 Jan 2026 00:55:00.000   -673.7423279520192        -5487.190927374126        3170.456505065628         
01 Jan 2026 00:56:00.000   -673.7423286777613        -5487.190927942031        3170.45650392851          
01 Jan 2026 00:57:00.000   -673.7423279472836        -5487.190927380044        3170.456505056391         
01 Jan 2026 00:58:00.000   -673.7423286777613        -5487.190927942032        3170.456503928511         
01 Jan 2026 00:59:00.000   -673.7423279426005        -5487.190927386002        3170.456505047076         
01 Jan 2026 01:00:00.000   -673.7423286777615        -5487.190927942032        3170.45650392851          
01 Jan 2026 01:01:00.000   -673.7423279379622        -5487.190927391999        3170.45650503768          
01 Jan 2026 01:02:00.000   -673.742328677763         -5487.190927942032        3170.45650392851          
01 Jan 2026 01:03:00.000   -673.7423279333735        -5487.190927398035        3170.456505028209         
01 Jan 2026 01:04:00.000   -673.7423286777621        -5487.190927942036        3170.45650392851          
01 Jan 2026 01:05:00.000   -673.7423279288347        -5487.190927404106        3170.456505018661         
01 Jan 2026 01:06:00.000   -673.7423286777621        -5487.190927942031        3170.45650392851          
01 Jan 2026 01:07:00.000   -673.7423279243459        -5487.190927410219        3170.456505009036         
01 Jan 2026 01:08:00.000   -673.7423286777625        -5487.190927942032        3170.456503928511         
01 Jan 2026 01:09:00.000   -673.7423279199052        -5487.19092741637         3170.456504999336         
01 Jan 2026 01:10:00.000   -673.7423286777627        -5487.190927942032        3170.456503928511         
01 Jan 2026 01:11:00.000   -673.7423279155169        -5487.190927422555        3170.456504989561         
01 Jan 2026 01:12:00.000   -673.7423286777622        -5487.190927942033        3170.456503928511         
01 Jan 2026 01:13:00.000   -673.7423279111774        -5487.190927428784        3170.456504979712         
01 Jan 2026 01:14:00.000   -673.742328677763         -5487.190927942034        3170.45650392851          
01 Jan 2026 01:15:00.000   -673.742327906893         -5487.19092743504         3170.456504969789         
01 Jan 2026 01:16:00.000   -673.7423286777625        -5487.190927942033        3170.456503928511         
01 Jan 2026 01:17:00.000   -673.7423279026569        -5487.190927441337        3170.456504959794         
01 Jan 2026 01:18:00.000   -673.7423286777637        -5487.190927942031        3170.45650392851          
01 Jan 2026 01:19:00.000   -673.7423278984685        -5487.190927447665        3170.456504949725         
01 Jan 2026 01:20:00.000   -673.7423286777639        -5487.190927942032        3170.456503928511         
01 Jan 2026 01:21:00.000   -673.7423278943386        -5487.190927454034        3170.456504939586         
01 Jan 2026 01:22:00.000   -673.742328677762         -5487.190927942032        3170.456503928511         
01 Jan 2026 01:23:00.000   -673.7423278902548        -5487.190927460433        3170.456504929375         
01 Jan 2026 01:24:00.000   -673.7423286777615        -5487.190927942033        3170.456503928511         
01 Jan 2026 01:25:00.000   -673.742327886229         -5487.190927466867        3170.456504919094         
01 Jan 2026 01:26:00.000   -673.7423286777629        -5487.190927942032        3170.45650392851          
